Recipe,Ingredients,Directions
Recipe 150,"1 kg, Ginger garlic paste, Salt, Black pepper powder, Roasted gram, Green chillies, optional, Fresh coriander, Yogurt, Cumin powder, Turmeric powder, Salt, Charcoal","-Remove tendons of chicken drumsticks & make deep cuts with the help of knife.
-In a bowl,add chicken drumsticks,ginger garlic paste,salt,black pepper powder,lemon juice & mix well,cover & marinate for 2 hours.
-On steamer grill,place marinated chicken drumsticks,cover & steam cook on medium flame for 4-5 minutes.
-Let it cool.
-In a spice mixer,add roasted gram,green chillies,cheddar cheese,fresh coriander,water & blend well.
-Take out in a bowl,add hung yogurt,lemon juice,cumin powder,turmeric powder,salt,garam masala powder & whisk well.
-Add steam cooked chicken drumsticks,coat well & marinate for 1 hour.
-In a frying pan,add cooking oil,marinated chicken,cover & cook on low flame for 3-4 minutes each side & turn sides in between & fire roast on direct flame until its charred from all sides.
-Give coal smoke for 2 minutes & serve!
Note:
-You can skip steam cooking if chicken drumsticks are small in size."
Recipe 151,"Vermicelli, Cardamom powder, Raisins, Almonds, Pistachios, Dry dates, Almonds, Raisins, Pistachios","Prepare Sawaiyan:
-In a frying pan,add desi ghee & let it melt.
-Add vermicelli,fry on low flame for 3-4 minutes & set aside.
-In a wok,add milk, sugar,mix well & bring it to boil.
-Add fried vermicelli,mix well & cook on low flame for 5-6 minutes.
-Add cardamom powder,raisins,almonds,pistachios,mix well & cook for a minute.
-In milk,add cornflour & whisk well.
-Now add dissolved cornflour,mix well & cook until it thickens.
-Let it cool at room temperature.
-Deseed boiled dry dates,chop well & set aside.
-In a dressing bottle,add sugar,hot water,shake well & set aside.
Assembling:
-In a serving dish,add plain cake cubes,drizzle prepared sugar syrup,chopped dried dates, almonds,raisins, pistachios,red tutti frutti,green tutti frutti,prepared sawaiyan & spread evenly.
-Garnish with chopped dry dates,almonds,pistachios,red tutti frutti,dry dates,pistachios & serve chilled!"
Recipe 152,"Black pepper powder, Garlic powder, Salt, Carrots, Almonds, Butter, Lettuce leaf, Cucumber, Eggs, Spring onion, White onion, Garlic, Black pepper powder, Salt, Lettuce leaf","Chicken Salad Buns:
Prepare Chicken Salad:
-In a bowl,add boiled & shredded chicken,mayonnaise,black pepper powder,garlic powder,salt, carrot,corn kernels,celery stalk,apple,almonds & mix well.
Assembling:
-With the help of 2.5-inch round cutter,cut the inner side of burger buns & gently remove extra part from it making a bowl shape.
-Apply melted butter & air fry in preheated air fryer at 180C for 2-3 minutes or toast for 2-3 minutes.
-On each air fried/toasted burger bun,place lettuce leaf,prepared chicken salad & garnish with cucumber & serve! (Serves 6-8)
Egg Salad Sliders:
Prepare Egg Salad:
-In a bowl,grate boiled eggs,add spring onion,onion,garlic,mayonnaise,mustard paste,paprika powder,black pepper powder,salt,lemon juice & mix well.
Assembling:
-Cut mini slider bun from center,place lettuce leaf,add prepared egg salad & serve! (Serves 8-10)"
Recipe 153,"Onion, Tomatoes, Cumin seeds, Black cardamom, Cloves, Cinnamon sticks, Black peppercorns, Green chillies, Mince, Ginger garlic paste, Salt, Red chilli powder, Coriander powder, Kashmiri red chilli, Turmeric powder, Split bengal gram, boiled until 90 done, Dried fenugreek leaves, Fresh coriander, Butter, Ginger, Green chilli, Fresh coriander, Ginger, Green chilli","-In a frying pan,add onion,tomatoes,water & bring it to boil,cover & cook on low flame until tomatoes are soft (5-6 minutes) then remove tomato skin.
-Let it cool & transfer to a blending jug,blend to make a puree & set aside.
-In a wok,add cooking oil,cumin seeds,black cardamom,cloves,cinnamon sticks,black peppercorns, green chillies & mix well for a minute.
-Add beef mince,ginger garlic paste & mix well until it changes color.
-Add salt,red chilli powder,coriander powder,kashmiri red chilli powder,turmeric powder,mix well & cook for 2-3 minutes.
-Add blended paste,mix well & cook on medium flame for 5-6 minutes.
-Add boiled split bengal gram & mix well.
-Add water & mix well,cover & cook on low flame for 10-12 minutes then cook on high flame for a minute.
-Turn off the flame,add cream & mix well.
-Turn on the flame,add dried fenugreek leaves,garam masala powder,fresh coriander,cover & cook on low flame for 4-5 minutes.
-Heat handi (clay pot),add butter & let it melt.
-Add ginger,green chilli & mix well.
-Add prepared chana daal qeema & garnish with fresh coriander,ginger,green chilli,cream & serve!"
Recipe 154,"Coriander seeds, Cumin seeds, Red chilli powder, Dried fenugreek leaves, Green chillies, Ginger, Garlic, Fresh coriander, Cloves, Cinnamon sticks, Star anise, Black cardamom, Green cardamom, Green chillies, Cumin seeds, Black peppercorns, Bay leaves, Onion, Ginger garlic paste, Green chilli, Yogurt, Fresh coriander, Mint leaves, Fresh coriander, Mint leaves, Fresh coriander, Mint leaves","Prepare Balochi Tikka Masala:
-In a bowl,add coriander seeds,cumin seeds,red chilli powder,karahi masala,chaat masala,black pepper powder,garam masala powder,dried fenugreek leaves & mix well.Balochi tikka masala is ready!
Prepare Balochi Tikka:
-In a wok,add cooking oil,chicken,water,pink salt & mix well until it changes color,cover & cook on low flame for 4-5 minutes then cook on medium flame until light golden (14-15 minutes).
-Add green chillies (slit) & mix well.
-Add ginger,garlic,mix well & cook until ginger & garlic is golden (3-4 minutes).
-Turn off the flame,add half quantity of balochi tikka masala,lemon juice,fresh coriander,cover & let it rest for 30 minutes.
-In a bowl,add rice,water,wash thoroughly & soak for 30 minutes then strain soaked rice & set aside.
-In hot water,add cloves,cinnamon sticks,star anise,black cardamom,green cardamom,pink salt, green chillies,cooking oil,mix well & bring it to boil.
-Add soaked rice,mix well & boil until ¾th done then strain & set aside.
-In a pot,add cooking oil,cumin seeds,black peppercorns,bay leaves & mix well.
-Add onion & fry until light golden.
-Add ginger garlic paste,green chilli paste & mix well.
-Add remaining balochi tikka masala (reserve 1 tbs for layering) & mix well.
-Add yogurt & mix well.
-Add lemon juice,pink salt,mix well & cook for 1-2 minutes.
-Add fresh coriander,mint leaves,mix well & take out half quantity of gravy & reserve for layering.
-In remaining gravy,add balochi tikka pieces,fresh coriander,mint leaves,half quantity of boiled rice, reserved gravy,fresh coriander,mint leaves,remaining boiled rice,remaining balochi tikka & reserved balochi tikka masala,fresh coriander,cover & steam cook on low flame for 15-20 minutes.
-Serve with yogurt raita!"
Recipe 155,"Yogurt, Salt, Garlic powder, Yogurt, Onion, Garlic paste, Cumin powder, Salt, Red chilli powder, Black pepper powder","Prepare Yogurt Sauce:
-In a bowl,add yogurt,tahini paste,lemon juice,salt,garlic powder,fresh parsley & whisk well.
Prepare Chicken Doner Kebab:
-Cut chicken into pieces & set aside.
-In a bowl,add yogurt,onion paste,tomato paste,garlic paste,cumin powder,thyme,salt,red chilli powder,chicken powder,black pepper powder,lemon juice,cooking oil & whisk well.
-Add chicken & mix well,cover & marinate for overnight in refrigerator.
-Insert wooden skewers on potato.
-Thread or skewer marinated chicken pieces on wooden skewers & reserve remaining marinade for later use.
Air Frying:
-Air fry in preheated air fryer at 160C for 18-20 minutes,apply remaining marinade & turn side.
-Continue air frying for 10-12 minutes.
-Let it rest for 5 minutes & cut chicken with the help of knife.
Oven Baking:
-Bake in preheated oven at 180C for 35-40 minutes.
-Check & rotate in between.
Pot Baking:
-Pot bake in preheated pot for 35-40 minutes.
-Check & rotate in between.
Assembling:
-On tortilla,add & spread yogurt sauce,iceberg,cooked chicken,French fries,yogurt sauce,pickled jalapenos & warp it in butter paper."
Recipe 156,"Dates, deseeded, Clarified butter, Sesame seeds, Pistachios, Almonds, Semolina, Clarified butter, Milk, Caster sugar, Instant yeast, Allpurpose flour, Cardamom powder, Nutmeg powder","Prepare Date Filling:
-In a chopper,add dates & chop well.
-Add clarified butter,sesame seeds,pistachios,almonds & pulse 1-2 times.
-With the help of greased hands,take out a small quantity of mixture (7g) & make balls of equal sizes & set aside.
Prepare Dough:
-In a bowl,add semolina,clarified butter & mix well,cover with cling film & refrigerate for 8 hours or overnight.
-In a jug,add warm milk,caster sugar,instant yeast & mix well,cover & let it proof for 5-10 minutes.
-Take out semolina mixture from refrigerator & mix well.
-Take out in a bowl,add all-purpose flour,icing sugar,cardamom powder,nutmeg powder & mix well.
-Add yeast mixture & mix well,cover with cling film & let it rest for 1 hour (warm place).
-Knead dough again,with the help of greased hands,take a small quantity of mixture (30g),make a ball then spread it on your flatten.
-Place a date filling over it,gather all the edges,make a ball & seal properly.
-Place them on a baking tray lined with butter paper.
-With the help of mooncake mold press (you can use any cookie mold of your choice),press to pinch the top of the dough in a deep,decorative pattern.
Option # 1: Oven Baking
-Bake in preheated oven at 170C for 10 minutes (on both grills) & 5 minutes on upper grill.
Option # 2: Air frying
-Air fry in preheated air fryer at 180C for 10 minutes.
-Let them cool at room temperature (makes 19-20)."
Recipe 157,"Ginger garlic paste, Yogurt, 48g each, Red chilli, Capsicum, Onion, Tomato, Red chilli","-In a frying pan,add cooking oil,chicken & mix well until it changes color.
-Add ginger garlic paste,tandoori masala,yogurt,lemon juice,mix well & cook on medium flame for 4-5 minutes then cook on high flame until it dries up & set aside.
Assembling:
-On a cast iron plate,add saltish biscuits,mozzarella cheese,red chilli crushed,dried oregano,saltish biscuits,pizza sauce,cooked chicken,capsicum,onion,corn kernels,tomato,cheddar cheese,red chilli crushed,dried oregano & black olives.
-Bake in preheated oven at 180C until cheese melts (10 minutes).
-Serve hot!"
Recipe 158,"Mince, Ginger garlic paste, Salt, Turmeric powder, Cumin seeds, Red chilli, Coriander seeds, Roasted gram powder, Onion, Fresh coriander, Allpurpose flour, Salt","Prepare Seekh Kababs:
-In a bowl,add chicken mince,ginger garlic paste,salt,turmeric powder,cumin powder,garam masala powder,red chilli crushed,coriander seeds,roasted gram powder,fried onion,fresh coriander,cooking oil & mix well.
-Grease hand with oil,take a small quantity of mixture (100g) & skew on wooden skewers.
-On a griddle,heat cooking oil & fry chicken kababs on medium low flame from all sides until golden brown (makes 5).
Prepare Naan Dough:
-In a bowl,add all-purpose flour,salt,sugar powderd,baking powder,baking soda & mix well.
-Gradually add lukewarm water,mix well & knead until dough is formed,cover & let it rest for 1-2 hours.
-On a dough,add cooking oil & knead dough again until smooth.
-Take a small dough (70g),make a ball,grease with oil & roll out longitudinally with the help of rolling pin then cut rolled dough in two strips & wrap one strip around seekh kabab skewer carefully.
-Heat griddle & cook wrapped skewers on low flame from all sides until golden then fire roast on direct flame until its charred from all sides.
-Serve with raita or chutney!"
Recipe 159,"Salt, Ginger garlic paste, Green chillies, Onion, Green chilli, Coriander seeds, Cumin seeds, Black pepper, Yogurt, Fresh coriander, Onion, Dried fenugreek leaves, Green chilli, Ginger, Fresh coriander","-In a wok,add mutton,water,salt,mix well & bring it to boil,cover & cook on low flame until 90% done (30-35 minutes).
-Now move mutton to the sides of wok,in the center of the wok,add cooking oil,ginger garlic paste, green chillies,mix well & sauté for a minute.
-Add onion,green chilli,mix well & cook on medium flame for 4-5 minutes.
-Add coriander seeds,cumin seeds,black pepper crushed,yogurt,mix well & cook for 2-3 minutes.
-Add lemon juice,fresh coriander,onion,mix well & cook for a minute.
-Add dried fenugreek leaves & mix well.
-Garnish with green chilli,ginger,fresh coriander & serve with naan!"
Recipe 160,"Peas, Onion, Potatoes, Spring onion, Coriander seeds, Red chilli, Turmeric powder, Cumin powder, Red chilli powder, Salt, Ginger garlic paste, Allpurpose flour, Coriander seeds, Fennel seeds, Green chillies, Cinnamon stick, Black peppercorns, Black cardamom, Star anise, Cumin seeds, Onion, Ginger garlic paste, Green chilli, Yogurt, Rice, soaked for 30 minutes, Salt, Fresh coriander, Onion","Prepare Matar Kabab:
-In a chopper,add boiled peas,fried onion,chop well & set aside.
-In a bowl,add boiled potatoes & mash well with the help of masher.
-Add chopped peas mixture,spring onion,coriander seeds,red chilli crushed,turmeric powder,cumin powder,red chilli powder,salt,ginger garlic paste,lemon juice,all-purpose flour & mix until well combined.
-Grease hands with oil,take small quantity of mixture (60g) & make kababs of equal sizes.
-In a frying pan,heat cooking oil & shallow fry kababs on medium flame from both sides until golden brown (makes 15).
Prepare Mirchi Pulao:
-In a small bowl,add coriander seeds,fennel seeds,chaat masala,lemon juice & mix well.
-Stuffed green chillies with prepared spice mix & set aside.
-In a pot,add cooking oil,stuffed green chillies & fry on medium flame until light golden & set aside.
-In the same pot,add cooking oil,cinnamon stick,black peppercorns,black cardamoms,star anise, cumin seeds & mix well.
-Add onion & fry until light golden.
-Add ginger garlic paste,green chilli paste & mix well.
-Add yogurt,mix well & cook for 1-2 minutes.
-Add soaked rice & mix well.
-Add hot water & mix well.
-Add salt,chicken powder,lemon juice,mix well & cook on medium flame until water is reduced (2-3 minutes).
-Add fresh coriander,cover with kitchen cloth & lid and steam cook on low flame for 10-12 minutes.
-Garnish masala bhari mirch,fried onion & serve with matar kabab!"
Recipe 161,"Butter, Caster sugar, 3  ½ tbs, Allpurpose flour, 13 Cup, 1  ½ tbs, ½ Cup, Butter, Salt, Allpurpose flour, ½ Cup, Eggs, Milk","Prepare Chocolate Craquelin:
-In a bowl,add butter,caster sugar & mix well.
-On a bowl,place sifter,add all-purpose flour,cocoa powder & sift together then mix until well combined.
-On a butter paper,add & spread,cover with another butter paper & roll it out 1-2mm thick sheet with the help of rolling pin & freeze for 30 minutes or until use.
Prepare Choux Pastry:
-In a saucepan,add water,butter,sugar & salt.
-Turn on the flame,mix well & bring it to boil.
-Turn off the flame,add all-purpose flour & mix until well combined.
-Turn on the flame & cook on low flame for a minute.
-Transfer choux dough to a separate bowl & let it cool at room temperature.
-Add eggs one by one & beat on low speed until well combined & transfer to a piping bag with a round nozzle.
-On baking tray,place silicon mat,dip cookie cutter on cocoa powder & mark 5cm circles on it.
-Pipe mounds of choux dough on silicon mat.
-Take out chocolate craquelin from freezer,remove baking paper & cut into circles (5cm) with the help of cookie cutter.
-Transfer craquelin rounds on choux pastry & bake in preheated oven at 190C for 35 minutes (on both grills).
-Let them cool at room temperature (makes 15).
Prepare Custard Cream:
-In a saucepan,add milk,sugar,mix well & bring it to boil.
-In a bowl,add custard powder,water & mix well.
-Now add dissolved custard powder in milk,mix well & cook until it thickens.
-Remove from heat & let it cool completely while whisking.
-In a bowl,add whipping cream & beat well until soft peaks form.
-Add prepared custard & beat until well combined.
-Transfer to a piping bag with filling nozzle & refrigerate until chilled.
-Insert tip of custard cream filled bag into hole in each choux & begin piping with steady pressure until filled.
-Drizzle melted chocolate & serve!"
Recipe 162,"Cumin powder, Black pepper powder, Salt, Poppy seeds, soaked overnight in 4 tbs water, Mace, Nutmeg, Green cardamom, Ginger, Garlic, Green chiilies, Fresh coriander, Mint leaves, Capsicum, Onion, Black pepper, Salt, Onion, Black peppercorns, Cloves, Cinnamon sticks, Bay leaf, Yogurt, Cumin seeds, Coriander powder, Salt, room temperature, Black pepper, Dried fenugreek leaves, Onion, Fresh coriander, Mint leaves, Rice, boiled with salt until ¾ done","-In a bowl,add chicken,lemon juice,cumin powder,black pepper powder,salt,chaat masala,cooking oil & mix well,cover & marinate for 30 minutes.
-In a spice mixer,add poppy seeds along with its water,mace,nutmeg,green cardamom & blend well.
-If required,add water & blend well.
-Add ginger,garlic,green chillies,fresh coriander,mint leaves,water,blend well & set aside.
-In a pot,add cooking oil,capsicum,onion & mix well.
-Add black pepper crushed,salt,sauté for a minute & reserve for later use.
-In the same pot,add cooking oil,onion & mix well.
-Add black peppercorns,cloves,cinnamon sticks,bay leaf,mix well & sauté until onions are translucent.
-Add marinated chicken,mix well & cook for 5-6 minutes.
-Add blended paste,mix well & cook for 4-5 minutes.
-Add yogurt,cumin seeds,garam masala powder,coriander powder,salt,mix well & cook on medium flame until oil separates (7-8 minutes).
-On low flame,add cream,mix well & cook for 1-2 minutes.
-Add black pepper crushed,dried fenugreek leaves & mix well.
-Reserve half quantity of gravy for later use.
-In remaining gravy,add sauteed vegetables,fried onion,fresh coriander,mint leaves,half quantity of boiled rice,reserved gravy,remaining sauteed vegetables,fried onion,fresh coriander,mint leaves, remaining boiled rice,tarrka desi ghee,fried onion,cover with kitchen cloth and lid & steam cook on low flame for 15-20 minutes.
-Garnish with fried onion & serve with raita & salad!"
Recipe 163,"Cumin seeds, Garlic, Onion, Coriander seeds, Red chilli, Salt, Turmeric powder, Okra, Dried mango powder, Fresh coriander, Green chillies, Fresh coriander, Kashmiri red chillies, Garlic, Desiccated coconut, Roasted gram, Button red chillies, Cumin seeds, Salt, Wheat flour, Salt, Clarified butter, Clarified butter","Prepare Lehsuni Bhindi:
-In a wok,add cooking oil,cumin seeds & mix well.
-Add garlic & mix well.
-Add onion,mix well & fry until light golden.
-Add coriander seeds,red chilli crushed,salt,turmeric powder,mix well & cook for a minute.
-Add okra,mix well & cook for 2-3 minutes,cover & steam cook on low flame until tender (10-12 minutes).
-Add dried mango powder,fresh coriander,green chillies & mix well.
-Garnish with fresh coriander & serve with chutney paratha.
Prepare Chutney Paratha:
-In a chopper,add Kashmiri red chillies,garlic,desiccated coconut,roasted gram,button red chillies,cumin seeds,salt,lemon juice,gradually add water,chop well & set aside.
-Chutney filling can be stored in an airtight jar for up to 1 month in refrigerator.
Prepare Dough:
-In a bowl,add wheat flour,salt,clarified butter & mix well until it crumbles.
-Gradually add hot water & mix well,cover & let it rest for 10 minutes & knead until soft dough is formed,cover & let it rest for 15-20 minutes.
-Take a small dough (100g),make a ball & spread the dough with the help of fingers.
-Add prepared red chutney 1-2 tbs in the center of dough,gather the edges,press & seal the ends.
-Sprinkle dry flour,press gently & roll out with the help of rolling pin.
-On heated griddle,place paratha & cook from both sides until golden brown with clarified butter (makes 6-7)."
Recipe 164,"Meatballs, Mince, Onion, Ginger garlic paste, Salt, Red chilli powder, Black pepper powder, soaked in water, Star anise, Green cardamom, Black cardamom, Cinnamon sticks, Cloves, Cumin seeds, Onion, Tomato, Ginger, Garlic, Clarified butter, Cumin seeds, Kashmiri red chilli, Salt, Coriander seeds, Red chilli powder, Black pepper, Red chilli, Turmeric powder, Stock, Chickpeas, boiled with salt, Green chillies, Fresh coriander, Fresh coriander","Prepare Koftay (Meatballs):
-In a bowl,add beef mince,onion,ginger garlic paste,salt,red chilli powder,black pepper powder & garam masala powder.
-Squeeze bread to remove water,add in bowl & mix until well combined.
-Wet hand with water,take a mixture (40g) & make meatballs of equal sizes (makes 15-16) & set aside.
Prepare Curry:
-In a spice mixer,add star anise,green cardamom,black cardamom,cinnamon sticks,cloves & cumin seeds,grind to make powder & set aside.
-In a jug,add onion,tomato,ginger,garlic & water,blend well & set aside.
-In a pot,add clarified butter & let it melt.
-Add cumin seeds & mix well.
-Add Kashmiri red chilli powder & mix well.
-Add blended tomato mixture,mix well & cook on medium flame for 4-5 minutes.
-Add salt,coriander seeds,red chilli powder,black pepper crushed,red chilli crushed,turmeric powder, ground spices (reserve 1 tsp for later use),mix well & cook on medium flame for 4-5 minutes or until ghee separates.
-Add stock/chickpea water & mix well.
-Add hot water,mix well & bring it to boil and cook until ghee separates (5-6 minutes).
-Add prepared koftay,cover & cook on low flame 10-12 minutes.
-Add boiled chickpeas & mix well.
-Add baking soda & mix well.
-Add green chillies,fresh coriander,reserved spice mix,cover & simmer on low flame for 8-10 minutes.
-Garnish with fresh coriander & serve!"
Recipe 165,"Sonth, Tamarind pulp, Black pepper powder, Dried ginger powder, Red chilli powder, Salt, Mint leaves, Fresh coriander, Garlic, Ginger, Green chillies, Roasted grams, Cumin seeds, Black salt, Salt, Cucumber, Potato, Tomato, Onion, Green chilli, Tamarind pulp, Salt, Cumin seeds, Mint leaves, Fresh coriander, Yogurt, Black chickpeas, Peanuts, Red chilli, Fresh coriander","Prepare Dried Ginger (Sonth) Chutney:
-In a saucepan,add tamarind pulp,sugar,black pepper powder,dried ginger powder,red chilli powder, salt,cooking oil,mix well & cook on low flame for 2-3 minutes.
-Let it cool completely.
-Can be stored in an airtight jar for up to 2 months in refrigerator.
Prepare Green Chutney:
-In a blender jug,add mint leaves,fresh coriander,garlic,ginger,green chillies,roasted grams,cumin seeds,black salt,salt,lemon juice,water,blend well & set aside.
Prepare Salad Mixture:
-In a bowl,add cucumber,potato,tomato,onion,green chillies,tamarind pulp,salt,chaat masala,cumin seeds,mint leaves,fresh coriander,mix well & set aside.
Assembling:
-In a serving cup,add yogurt,prepared green chutney,black chickpeas,chaat masala,prepared salad mixture,roasted peanuts,prepared dried ginger chutney,yogurt,red chilli crushed,nimco sev,fresh coriander & serve!"
Recipe 166,"Egg, Red chilli powder, Salt, Allpurpose flour, Lettuce leaves, Red chilli, Red chilli powder, Salt, Garlic powder, Onion, Capsicum, Cucumber, Tomato","Crispy Chicken Sandwich:
-In a bowl,add chicken,egg,red chilli powder,salt,dried oregano,all-purpose flour & mix well then coat with breadcrumbs.
-In a frying pan,add cooking oil & fry chicken pieces from both sides until golden & crispy.
Assembling:
-Cut croissant in half,add tomato ketchup,lettuce leaves,chedder cheese slice,crispy fried chicken, coleslaw & flip another slice over it to make a sandwich (makes 3 sandwiches).
-Wrap in cling film,cut into half & place them in a lunch box with Olper’s strawberry milk.
Pizza Sandwich:
-In a frying pan,add cooking oil,chicken & mix well until it changes color.
-Add lemon juice,red chilli crushed,dried oregano,red chilli powder,salt,garlic powder,mix well & cook on medium flame for 2-3 minutes.
-Add mushrooms,mix well & cook for a minute.
-Add onion,capsicum & mix well.
-Let it cool.
-Add cheddar cheese,mix well & set aside.
Assembling:
-Trim bread slices.
-Add & spread pizza sauce on both bread slices.
-On one bread slice,add cucumber slices,prepared chicken filling,tomato slices & flip another bread slice over it to make a sandwich (makes 3 sandwiches).
-Wrap in cling film,cut into half & place them in a lunch box with Olper’s chocolate milk."
Recipe 167,"Mince, Garlic paste, Red chilli, Salt, Cumin seeds, Butter, Onion, Garlic, Green chilli, Fresh coriander, Allpurpose flour, Salt","Prepare Creamy Chicken Filling:
-In a bowl,add chicken mince,garlic paste,lemon juice,cooking oil,red chilli crushed,dried oregano, garam masala powder,salt,cumin seeds & mix well,cover & marinate for 30 minutes.
-In a frying pan,add cooking oil,butter & let it melt.
-Add onion,garlic,green chilli,mix well & cook until light golden.
-Add tomato paste & mix well.
-Now add marinated mince & mix well until it changes color.
-Add milk,cream & mix well,cover & cook on low flame for 10-12 minutes.
-Add fresh coriander,mix well & cook on high flame until it dries up (4-5 minutes).
-Let it cool completely.
Prepare Dough:
-In a bowl,add all-purpose flour,salt & mix well.
-Gradually add lukewarm water,mix well & knead until dough is formed.
-Grease with cooking oil,cover & let it rest for 30 minutes.
-Take a small dough (120g),make a ball,sprinkle dry flour & roll out with the help of rolling pin.
-Spread desi ghee,sprinkle dry flour,make a cut on dough then fold,roll & twist into a ball.
-Press gently,sprinkle dry flour & roll out with the help of rolling pin.
-Add prepared creamy chicken filling (2-3 tbs),gather all the sides,twist,pinch & seal the ends.
-Sprinkle dry flour,press gently,remove air bubbles with wooden skewer & roll out with the help of rolling pin.
-Heat griddle,add desi ghee,let it melt & fry paratha from both sides until golden & crispy (makes 5) & serve!"
Recipe 168,"Onion, Green chillies, Tomato, Red chilli, Cumin seeds, Salt, Red chilli powder, Turmeric powder, Eggs, Fresh coriander, Eggs, Allpurpose flour, Salt, Allpurpose flour","Prepare Egg Stuffing:
-In a wok,add cooking oil,onion & sauté until translucent.
-Add green chillies & mix well.
-Add tomato,mix well & cook for 2-3 minutes.
-Add water,red chilli crushed,cumin seeds,salt,red chilli powder,turmeric powder,mix well & cook for 1-2 minutes.
-Add boiled eggs (grated),fresh coriander & mix well.
-Add eggs,mix well & cook for a minute.
-Add butter,mix well & set aside.
Prepare Dough:
-In a bowl,add all-purpose flour,salt & mix well.
-Add cooking oil,gradually add water,mix well & knead until dough is formed.
-Grease with cooking oil,cover & let it rest for 1 hour.
-Take a small dough (90g) & make a ball,sprinkle dry flour & roll out with the help of rolling pin.
-Apply melted butter with the help of brush,sprinkle dry flour & fold all four sides of dough to make a square shape.
-Sprinkle dry flour & roll out with the help of rolling pin.
-In a bowl,add all-purpose flour,water & whisk well.Flour slurry is ready!
-On rolled dough,add prepared egg stuffing,fold all four sides of dough & seal with flour slurry.
-Heat griddle,grease with butter,place lifafa paratha & fry on medium flame from both sides until golden (makes 4) & serve!"
Recipe 169,"Cumin powder, Black pepper powder, Salt, Poppy seeds, soaked overnight in 4 tbs water, Mace, Nutmeg, Green cardamom, Ginger, Garlic, Green chiilies, Fresh coriander, Mint leaves, Capsicum, Onion, Black pepper, Salt, Onion, Black peppercorns, Cloves, Cinnamon sticks, Bay leaf, Yogurt, Cumin seeds, Coriander powder, Salt, room temperature, Black pepper, Dried fenugreek leaves, Onion, Fresh coriander, Mint leaves, Rice, boiled with salt until ¾ done","-In a bowl,add chicken,lemon juice,cumin powder,black pepper powder,salt,chaat masala,cooking oil & mix well,cover & marinate for 30 minutes.
-In a spice mixer,add poppy seeds along with its water,mace,nutmeg,green cardamom & blend well.
-If required,add water & blend well.
-Add ginger,garlic,green chillies,fresh coriander,mint leaves,water,blend well & set aside.
-In a pot,add cooking oil,capsicum,onion & mix well.
-Add black pepper crushed,salt,sauté for a minute & reserve for later use.
-In the same pot,add cooking oil,onion & mix well.
-Add black peppercorns,cloves,cinnamon sticks,bay leaf,mix well & sauté until onions are translucent.
-Add marinated chicken,mix well & cook for 5-6 minutes.
-Add blended paste,mix well & cook for 4-5 minutes.
-Add yogurt,cumin seeds,garam masala powder,coriander powder,salt,mix well & cook on medium flame until oil separates (7-8 minutes).
-On low flame,add cream,mix well & cook for 1-2 minutes.
-Add black pepper crushed,dried fenugreek leaves & mix well.
-Reserve half quantity of gravy for later use.
-In remaining gravy,add sauteed vegetables,fried onion,fresh coriander,mint leaves,half quantity of boiled rice,reserved gravy,remaining sauteed vegetables,fried onion,fresh coriander,mint leaves, remaining boiled rice,tarrka desi ghee,fried onion,cover with kitchen cloth and lid & steam cook on low flame for 15-20 minutes.
-Garnish with fried onion & serve with raita & salad!"
Recipe 170,"Cumin seeds, Garlic, Onion, Coriander seeds, Red chilli, Salt, Turmeric powder, Okra, Dried mango powder, Fresh coriander, Green chillies, Fresh coriander, Kashmiri red chillies, Garlic, Desiccated coconut, Roasted gram, Button red chillies, Cumin seeds, Salt, Wheat flour, Salt, Clarified butter, Clarified butter","Prepare Lehsuni Bhindi:
-In a wok,add cooking oil,cumin seeds & mix well.
-Add garlic & mix well.
-Add onion,mix well & fry until light golden.
-Add coriander seeds,red chilli crushed,salt,turmeric powder,mix well & cook for a minute.
-Add okra,mix well & cook for 2-3 minutes,cover & steam cook on low flame until tender (10-12 minutes).
-Add dried mango powder,fresh coriander,green chillies & mix well.
-Garnish with fresh coriander & serve with chutney paratha.
Prepare Chutney Paratha:
-In a chopper,add Kashmiri red chillies,garlic,desiccated coconut,roasted gram,button red chillies,cumin seeds,salt,lemon juice,gradually add water,chop well & set aside.
-Chutney filling can be stored in an airtight jar for up to 1 month in refrigerator.
Prepare Dough:
-In a bowl,add wheat flour,salt,clarified butter & mix well until it crumbles.
-Gradually add hot water & mix well,cover & let it rest for 10 minutes & knead until soft dough is formed,cover & let it rest for 15-20 minutes.
-Take a small dough (100g),make a ball & spread the dough with the help of fingers.
-Add prepared red chutney 1-2 tbs in the center of dough,gather the edges,press & seal the ends.
-Sprinkle dry flour,press gently & roll out with the help of rolling pin.
-On heated griddle,place paratha & cook from both sides until golden brown with clarified butter (makes 6-7)."
